Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994845
Africa,,1969,7.9439163
Africa,,1970,9.148895
Africa,,1971,8.124994
Africa,,1972,8.747272
Africa,,1973,8.54162
Africa,,1974,9.252387
Africa,,1975,9.228769
Africa,,1976,9.41638
Africa,,1977,9.803094
Africa,,1978,9.518462
Africa,,1979,9.349527
Africa,,1980,8.481442
Africa,,1981,7.8527517
Africa,,1982,7.3734274
Africa,,1983,6.456112
Africa,,1984,6.1585774
Africa,,1985,6.5793424
Africa,,1986,6.7159667
Africa,,1987,6.243963
Africa,,1988,6.3621163
Africa,,1989,6.66546
Africa,,1990,6.5857716
Africa,,1991,6.9810143
Africa,,1992,6.5694675
Africa,,1993,6.43179
Africa,,1994,6.3092456
Africa,,1995,6.306244
Africa,,1996,6.4332542
Africa,,1997,6.465725
Africa,,1998,6.676159
Africa,,1999,6.858631
Africa,,2000,7.2029395
Africa,,2001,7.4362373
Africa,,2002,7.671944
Africa,,2003,7.105203
Africa,,2004,6.980063
Africa,,2005,7.0285006
Africa,,2006,7.1611776
Africa,,2007,7.0572457
Africa,,2008,6.761787
Africa,,2009,6.810709
Africa,,2010,7.1290402
Africa,,2011,7.2594023
Africa,,2012,6.9972486
Africa,,2013,7.189637
Africa,,2014,7.5156765
Africa,,2015,7.527505
Africa,,2016,7.404274
Africa,,2017,7.6419463
Africa,,2018,8.005552
Africa,,2019,8.356321
Africa,,2020,9.415897
Africa,,2021,9.152215
Africa,,2022,9.298186
Africa,,2023,9.826173
Africa (EI),,1965,5.7402806
Africa (EI),,1966,6.113969
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994845
Africa (EI),,1969,7.9439154
Africa (EI),,1970,9.148896
Africa (EI),,1971,8.124996
Africa (EI),,1972,8.7472725
Africa (EI),,1973,8.54162
Africa (EI),,1974,9.252388
Africa (EI),,1975,9.228768
Africa (EI),,1976,9.416379
Africa (EI),,1977,9.803097
Africa (EI),,1978,9.518462
Africa (EI),,1979,9.349527
Africa (EI),,1980,8.481442
Africa (EI),,1981,7.8527517
Africa (EI),,1982,7.3734274
Africa (EI),,1983,6.456112
Africa (EI),,1984,6.1585774
Africa (EI),,1985,6.5793424
Africa (EI),,1986,6.7159667
Africa (EI),,1987,6.243963
Africa (EI),,1988,6.3621163
Africa (EI),,1989,6.6654606
Africa (EI),,1990,6.5857716
Africa (EI),,1991,6.9810143
Africa (EI),,1992,6.5694675
Africa (EI),,1993,6.43179
Africa (EI),,1994,6.3092456
Africa (EI),,1995,6.306244
Africa (EI),,1996,6.433255
Africa (EI),,1997,6.465725
Africa (EI),,1998,6.6761603
Africa (EI),,1999,6.8586307
Africa (EI),,2000,7.2029395
Africa (EI),,2001,7.436237
Africa (EI),,2002,7.671944
Africa (EI),,2003,7.105202
Africa (EI),,2004,6.980063
Africa (EI),,2005,7.0285006
Africa (EI),,2006,7.161177
Africa (EI),,2007,7.0572457
Africa (EI),,2008,6.761787
Africa (EI),,2009,6.8107085
Africa (EI),,2010,7.12904
Africa (EI),,2011,7.2594023
Africa (EI),,2012,6.9972486
Africa (EI),,2013,7.189637
Africa (EI),,2014,7.5156765
Africa (EI),,2015,7.527505
Africa (EI),,2016,7.404273
Africa (EI),,2017,7.6419473
Africa (EI),,2018,8.005553
Africa (EI),,2019,8.356321
Africa (EI),,2020,9.415897
Africa (EI),,2021,9.152214
Africa (EI),,2022,9.298185
Africa (EI),,2023,9.826172
Algeria,DZA,1965,4.7630677
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.291954
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559188
Algeria,DZA,1972,3.278343
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.494738
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010222
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.4290016
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.5708701
Algeria,DZA,1983,0.25644946
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.2664045
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.2249582
