Entity,Code,Day,Global sea level according to Church and White (2011),Global sea level according to UHSLC,Global sea level as an average of Church and White (2011) and UHSLC data
World,OWID_WRL,1880-04-15,-183.31406,,-183.31406
World,OWID_WRL,1880-07-15,-183.24739,,-183.24739
World,OWID_WRL,1880-10-15,-174.1474,,-174.1474
World,OWID_WRL,1881-01-15,-159.68073,,-159.68073
World,OWID_WRL,1881-04-15,-172.41406,,-172.41406
World,OWID_WRL,1881-07-15,-174.01407,,-174.01407
World,OWID_WRL,1881-10-15,-186.0474,,-186.0474
World,OWID_WRL,1882-01-15,-189.48073,,-189.48073
World,OWID_WRL,1882-04-15,-184.21407,,-184.21407
World,OWID_WRL,1882-07-15,-190.08073,,-190.08073
World,OWID_WRL,1882-10-15,-202.5474,,-202.5474
World,OWID_WRL,1883-01-15,-204.38072,,-204.38072
World,OWID_WRL,1883-04-15,-192.48073,,-192.48073
World,OWID_WRL,1883-07-15,-185.1474,,-185.1474
World,OWID_WRL,1883-10-15,-179.81406,,-179.81406
World,OWID_WRL,1884-01-15,-166.61406,,-166.61406
World,OWID_WRL,1884-04-15,-158.98073,,-158.98073
World,OWID_WRL,1884-07-15,-166.28073,,-166.28073
World,OWID_WRL,1884-10-15,-174.51407,,-174.51407
World,OWID_WRL,1885-01-15,-173.3474,,-173.3474
World,OWID_WRL,1885-04-15,-166.61406,,-166.61406
World,OWID_WRL,1885-07-15,-167.68073,,-167.68073
World,OWID_WRL,1885-10-15,-166.58073,,-166.58073
World,OWID_WRL,1886-01-15,-171.11406,,-171.11406
World,OWID_WRL,1886-04-15,-164.08073,,-164.08073
World,OWID_WRL,1886-07-15,-164.21407,,-164.21407
World,OWID_WRL,1886-10-15,-178.98073,,-178.98073
World,OWID_WRL,1887-01-15,-184.18073,,-184.18073
World,OWID_WRL,1887-04-15,-180.78073,,-180.78073
World,OWID_WRL,1887-07-15,-170.21407,,-170.21407
World,OWID_WRL,1887-10-15,-171.88072,,-171.88072
World,OWID_WRL,1888-01-15,-175.88072,,-175.88072
World,OWID_WRL,1888-04-15,-177.71407,,-177.71407
World,OWID_WRL,1888-07-15,-172.61406,,-172.61406
World,OWID_WRL,1888-10-15,-170.41406,,-170.41406
World,OWID_WRL,1889-01-15,-171.08073,,-171.08073
World,OWID_WRL,1889-04-15,-167.98073,,-167.98073
World,OWID_WRL,1889-07-15,-169.71407,,-169.71407
World,OWID_WRL,1889-10-15,-177.1474,,-177.1474
World,OWID_WRL,1890-01-15,-176.5474,,-176.5474
World,OWID_WRL,1890-04-15,-160.71407,,-160.71407
World,OWID_WRL,1890-07-15,-166.98073,,-166.98073
World,OWID_WRL,1890-10-15,-175.28073,,-175.28073
World,OWID_WRL,1891-01-15,-186.48073,,-186.48073
World,OWID_WRL,1891-04-15,-171.01407,,-171.01407
World,OWID_WRL,1891-07-15,-167.71407,,-167.71407
World,OWID_WRL,1891-10-15,-168.21407,,-168.21407
World,OWID_WRL,1892-01-15,-167.5474,,-167.5474
World,OWID_WRL,1892-04-15,-163.41406,,-163.41406
World,OWID_WRL,1892-07-15,-167.58073,,-167.58073
World,OWID_WRL,1892-10-15,-176.08073,,-176.08073
World,OWID_WRL,1893-01-15,-170.81406,,-170.81406
World,OWID_WRL,1893-04-15,-160.8474,,-160.8474
World,OWID_WRL,1893-07-15,-162.98073,,-162.98073
World,OWID_WRL,1893-10-15,-164.48073,,-164.48073
World,OWID_WRL,1894-01-15,-170.08073,,-170.08073
World,OWID_WRL,1894-04-15,-173.21407,,-173.21407
World,OWID_WRL,1894-07-15,-176.88072,,-176.88072
World,OWID_WRL,1894-10-15,-177.01407,,-177.01407
World,OWID_WRL,1895-01-15,-161.11406,,-161.11406
World,OWID_WRL,1895-04-15,-166.0474,,-166.0474
World,OWID_WRL,1895-07-15,-163.1474,,-163.1474
World,OWID_WRL,1895-10-15,-158.74739,,-158.74739
World,OWID_WRL,1896-01-15,-171.4474,,-171.4474
World,OWID_WRL,1896-04-15,-172.88072,,-172.88072
World,OWID_WRL,1896-07-15,-160.31406,,-160.31406
World,OWID_WRL,1896-10-15,-169.8474,,-169.8474
World,OWID_WRL,1897-01-15,-173.38072,,-173.38072
World,OWID_WRL,1897-04-15,-162.48073,,-162.48073
World,OWID_WRL,1897-07-15,-152.1474,,-152.1474
World,OWID_WRL,1897-10-15,-168.9474,,-168.9474
World,OWID_WRL,1898-01-15,-169.24739,,-169.24739
World,OWID_WRL,1898-04-15,-147.9474,,-147.9474
World,OWID_WRL,1898-07-15,-157.11406,,-157.11406
World,OWID_WRL,1898-10-15,-155.61406,,-155.61406
World,OWID_WRL,1899-01-15,-150.58073,,-150.58073
World,OWID_WRL,1899-04-15,-149.88072,,-149.88072
World,OWID_WRL,1899-07-15,-151.68073,,-151.68073
World,OWID_WRL,1899-10-15,-140.08073,,-140.08073
World,OWID_WRL,1900-01-15,-150.31406,,-150.31406
World,OWID_WRL,1900-04-15,-151.78073,,-151.78073
World,OWID_WRL,1900-07-15,-152.0474,,-152.0474
World,OWID_WRL,1900-10-15,-155.38072,,-155.38072
World,OWID_WRL,1901-01-15,-155.4474,,-155.4474
World,OWID_WRL,1901-04-15,-156.58073,,-156.58073
World,OWID_WRL,1901-07-15,-156.5474,,-156.5474
World,OWID_WRL,1901-10-15,-147.48073,,-147.48073
World,OWID_WRL,1902-01-15,-145.58073,,-145.58073
World,OWID_WRL,1902-04-15,-150.78073,,-150.78073
World,OWID_WRL,1902-07-15,-153.71407,,-153.71407
World,OWID_WRL,1902-10-15,-145.41406,,-145.41406
World,OWID_WRL,1903-01-15,-144.81406,,-144.81406
World,OWID_WRL,1903-04-15,-134.61406,,-134.61406
World,OWID_WRL,1903-07-15,-138.3474,,-138.3474
World,OWID_WRL,1903-10-15,-145.71407,,-145.71407
World,OWID_WRL,1904-01-15,-144.78073,,-144.78073
World,OWID_WRL,1904-04-15,-147.74739,,-147.74739
World,OWID_WRL,1904-07-15,-152.24739,,-152.24739
World,OWID_WRL,1904-10-15,-155.08073,,-155.08073
World,OWID_WRL,1905-01-15,-160.5474,,-160.5474
World,OWID_WRL,1905-04-15,-160.81406,,-160.81406
World,OWID_WRL,1905-07-15,-154.41406,,-154.41406
World,OWID_WRL,1905-10-15,-150.81406,,-150.81406
World,OWID_WRL,1906-01-15,-154.9474,,-154.9474
World,OWID_WRL,1906-04-15,-150.41406,,-150.41406
World,OWID_WRL,1906-07-15,-146.8474,,-146.8474
World,OWID_WRL,1906-10-15,-148.98073,,-148.98073
